location,betweenness_centrality,betweenness_weighted,degree_centrality,n_countries_gt10pct,strength_weighted,harmonic_centrality,pagerank
Strait of Gibraltar,0.2337,0.3895,0.9658,113,32.72,0.6938,0.0604
Strait of Malacca,0.1982,0.2405,1,117,30.58,0.7083,0.0572
Strait of Bab el-Mandeb,0.1318,0.0842,0.9744,114,29.53,0.6969,0.052
Suez Canal,0.117,0.1213,0.9402,110,27.75,0.6835,0.049
Panama Canal,0.092,0.118,0.2991,35,9.92,0.4484,0.028
Dover Strait,0.0879,0.092,0.6068,71,16.04,0.559,0.0307
Turkish Straits,0.017,0.0219,0.4188,49,11.48,0.4786,0.0206
Strait of Hormuz,0.007,0.0192,0.265,31,9.88,0.4247,0.0172
