location,type,region,latitude,longitude
Panama Canal,Canal,Central America,9.08,-79.68
Suez Canal,Canal,Middle East / North Africa,30.42,32.35
Strait of Malacca,Maritime strait,Southeast Asia,2.5,101.0
Strait of Hormuz,Maritime strait,Persian Gulf,26.57,56.25
Strait of Bab el-Mandeb,Maritime strait,Red Sea / Horn of Africa,12.58,43.33
Turkish Straits,Maritime strait,Black Sea / Mediterranean,41.12,29.07
Dover Strait,Maritime strait,Northwest Europe,51.0,1.5
Strait of Gibraltar,Maritime strait,Western Mediterranean,35.97,-5.5
